DEBUG 2024-06-04 12:53:34,427 autoreload File C:\Users\wojte\Pulpit\szkola\semestr_4\szkieletory\budowlanka\venv\Lib\site-packages\django\views\generic\dates.py first seen with mtime 1716894251.9897294
DEBUG 2024-06-04 12:53:34,427 autoreload File C:\Users\wojte\AppData\Local\Programs\Python\Python311\Lib\ipaddress.py first seen with mtime 1701712918.0
DEBUG 2024-06-04 12:53:34,427 autoreload File C:\Users\wojte\Pulpit\szkola\semestr_4\szkieletory\budowlanka\venv\Lib\site-packages\reportlab\pdfbase\_fontdata_widths_timesbolditalic.py first seen with mtime 1717071174.3118432
DEBUG 2024-06-04 12:53:34,429 autoreload File C:\Users\wojte\Pulpit\szkola\semestr_4\szkieletory\budowlanka\venv\Lib\site-packages\django_bootstrap5\__about__.py first seen with mtime 1716894257.1994007
DEBUG 2024-06-04 12:53:34,429 autoreload File C:\Users\wojte\Pulpit\szkola\semestr_4\szkieletory\budowlanka\venv\Lib\site-packages\django\db\backends\sqlite3\introspection.py first seen with mtime 1716894251.7130997
DEBUG 2024-06-04 12:53:34,430 autoreload File C:\Users\wojte\Pulpit\szkola\semestr_4\szkieletory\budowlanka\venv\Lib\site-packages\django\contrib\admin\templatetags\log.py first seen with mtime 1716894248.5115378
DEBUG 2024-06-04 12:53:34,430 autoreload File C:\Users\wojte\AppData\Local\Programs\Python\Python311\Lib\asyncio\events.py first seen with mtime 1701712918.0
DEBUG 2024-06-04 12:53:34,431 autoreload File C:\Users\wojte\AppData\Local\Programs\Python\Python311\Lib\sqlite3\__init__.py first seen with mtime 1701712918.0
DEBUG 2024-06-04 12:53:34,431 autoreload File C:\Users\wojte\Pulpit\szkola\semestr_4\szkieletory\budowlanka\venv\Lib\site-packages\django\utils\autoreload.py first seen with mtime 1716894251.9289885
DEBUG 2024-06-04 12:53:34,431 autoreload File C:\Users\wojte\AppData\Local\Programs\Python\Python311\Lib\email\errors.py first seen with mtime 1701712918.0
DEBUG 2024-06-04 12:53:34,432 autoreload File C:\Users\wojte\Pulpit\szkola\semestr_4\szkieletory\budowlanka\accounts\admin.py first seen with mtime 1715683456.2548375
DEBUG 2024-06-04 12:53:34,432 autoreload File C:\Users\wojte\AppData\Local\Programs\Python\Python311\Lib\ssl.py first seen with mtime 1701712918.0
DEBUG 2024-06-04 12:53:34,433 autoreload File C:\Users\wojte\Pulpit\szkola\semestr_4\szkieletory\budowlanka\venv\Lib\site-packages\django\db\models\signals.py first seen with mtime 1716894251.7453177
DEBUG 2024-06-04 12:53:34,433 autoreload File C:\Users\wojte\AppData\Local\Programs\Python\Python311\Lib\multiprocessing\context.py first seen with mtime 1701712918.0
DEBUG 2024-06-04 12:53:34,433 autoreload File C:\Users\wojte\Pulpit\szkola\semestr_4\szkieletory\budowlanka\venv\Lib\site-packages\django\contrib\contenttypes\admin.py first seen with mtime 1716894249.4802299
DEBUG 2024-06-04 12:53:34,435 autoreload File C:\Users\wojte\Pulpit\szkola\semestr_4\szkieletory\budowlanka\venv\Lib\site-packages\django\db\backends\base\schema.py first seen with mtime 1716894251.6804287
DEBUG 2024-06-04 12:53:34,435 autoreload File C:\Users\wojte\AppData\Local\Programs\Python\Python311\Lib\inspect.py first seen with mtime 1701712918.0
